event_id,user_id,session_id,timestamp,query,route,response_time_ms,success
evt_old_001,user_001,session_old_001,2026-07-20 10:00:00,What is health psychology?,rag,1500,True
evt_old_002,user_002,session_old_002,2026-07-25 15:00:00,Explain the biomedical model.,rag,1600,True
evt_001,user_001,session_001,2026-08-08 10:00:00,What is the biopsychosocial model?,rag,1450,True
evt_002,user_001,session_001,2026-08-08 10:04:00,How is it different from the biomedical model?,rag,1620,True
evt_003,user_002,session_002,2026-08-09 14:10:00,What is health psychology?,rag,1380,True
evt_004,user_002,session_002,2026-08-09 14:16:00,Explain the role of stress in health.,rag,1710,True
evt_005,user_003,session_003,2026-08-10 09:30:00,What is the COM-B model?,rag,1530,True
evt_006,user_001,session_004,2026-08-11 18:00:00,What does Ogden say about pain?,rag,1800,True
evt_007,user_001,session_004,2026-08-11 18:07:00,How does depression affect chronic pain?,rag,1920,True
evt_008,user_004,session_005,2026-08-12 12:20:00,Explain Gate Control Theory.,rag,1510,True
evt_009,user_004,session_005,2026-08-12 12:28:00,What psychological factors influence pain?,rag,1690,True
evt_010,user_005,session_006,2026-08-13 08:40:00,What is stress appraisal?,rag,1430,True
evt_011,user_002,session_007,2026-08-13 16:00:00,What are common health behavior theories?,rag,1770,True
evt_012,user_002,session_007,2026-08-13 16:09:00,Compare COM-B with the Health Belief Model.,rag,2050,True
evt_013,user_006,session_008,2026-08-14 09:05:00,What is the biopsychosocial model?,rag,1480,True
evt_014,user_006,session_008,2026-08-14 09:12:00,How is social support related to health?,rag,1580,True
evt_015,user_003,session_009,2026-08-14 11:30:00,Explain coping strategies.,rag,1600,True
