layer,source_homework,capability,evaluation_goal,current_metrics,future_metrics,cost_metrics,current_status
Knowledge Base,HW1,knowledge_base,"Verify that source content is transformed into a usable, traceable knowledge base.",document count; chunk count; chunk size distribution; metadata completeness; source traceability,duplicate rate; stale-source detection; ingestion failure rate; content coverage,ingestion cost; embedding preparation cost,AVAILABLE
Semantic Retrieval,HW2,semantic_retrieval,Measure whether relevant chunks are retrieved for a user query.,Top-K retrieval results; retrieval relevance; retrieval latency,Recall@K; Precision@K; MRR; nDCG; no-answer retrieval accuracy,embedding tokens; embedding cost; vector-search cost,AVAILABLE
Improved Retrieval,HW3,improved_retrieval,Compare baseline semantic retrieval with improved / reranked retrieval.,Top-1 accuracy; Recall@K; baseline vs improved comparison,Precision@K; MRR; nDCG; reranker contribution; retrieval cost / quality trade-off,embedding cost; reranking cost; retrieval cost per successful query,AVAILABLE
RAG Answer Generation,HW4,rag_generation,Measure whether generated answers are useful and supported by retrieved evidence.,answer quality; source usage; grounded answer behavior,groundedness; citation correctness; answer completeness; no-answer correctness; hallucination rate,input tokens; output tokens; cached tokens; model cost; cost per successful answer,PARTIAL
External Tools,HW5,external_tools,"Verify correct tool selection, authorization, execution, and controlled failure behavior.",authorization correctness; tool execution; tool result; error handling,tool success rate; backend latency; backend errors; retry rate; repeated tool calls,tool-related model calls; backend cost; retry-related cost,AVAILABLE
Agentic Workflow,HW6,agentic_workflow,"Measure workflow correctness, safety gates, state transitions, and task completion.",workflow steps; safety behavior; state; tool behavior; task completion,turn count; retries; fallbacks; loops; recovery success; workflow efficiency,model calls per task; tool calls per task; cost per completed workflow,AVAILABLE
LangGraph Orchestration,HW7,langgraph_orchestration,"Measure routing, authorization, trajectory correctness, and orchestration behavior.",route correctness; required nodes; forbidden nodes; authorization; tool execution; runtime errors; latency,semantic routing accuracy; multilingual routing; mixed-intent handling; route confidence,model calls; routing cost; retries; cost per successful routed task,AVAILABLE
RAG-Assisted Capability Routing,TARGET,rag_assisted_routing,Retrieve and select the correct capability or workflow for a user request.,Not implemented yet,routing accuracy; capability Recall@K; mixed-intent handling; clarification rate,routing tokens; retrieval cost; routing model cost per successful task,TARGET
Production Backend,TARGET,production_backend,Separate model / agent quality from backend system health.,Not implemented yet,backend success rate; backend latency; backend error rate; retry rate,backend operation cost; retry cost; cost of failed backend operations,TARGET
Model & Vendor Strategy,TARGET,model_vendor_comparison,Compare model providers and execution strategies using the same evaluation workload.,Framework defined; real comparison not run yet,task success; groundedness; safety; latency; TTFT; escalation rate,input tokens; output tokens; cached tokens; judge tokens; total cost; cost per successful task,TARGET
